Sessao; Data; Tipo do Objeto; Pontos; Membro 
2;8/18/2023 5:02:51 PM;Alvo;25;Right_Arm
2;8/18/2023 5:02:56 PM;Alvo;1.333333;Right_Arm
2;8/18/2023 5:03:01 PM;Alvo;1.333333;Right_Arm
2;8/18/2023 5:06:29 PM;Alvo;25;Right_Arm
2;8/18/2023 5:06:44 PM;Alvo;1.333333;Right_Arm
2;8/18/2023 5:06:49 PM;Alvo;1.333333;Right_Arm
2;8/18/2023 5:06:55 PM;Alvo;1.333333;Right_Arm
2;8/18/2023 5:07:02 PM;Alvo;1.333333;Left_Arm
2;8/18/2023 5:07:07 PM;Alvo;1.333333;Right_Arm
2;8/18/2023 5:07:13 PM;Alvo;1.333333;Left_Arm
2;8/18/2023 5:07:20 PM;Obstaculo;1.333333;Left_Arm
2;9/27/2023 11:20:02 AM;Alvo;25;Right_Arm
2;9/27/2023 11:20:08 AM;Alvo;1.333333;Right_Arm
2;9/27/2023 11:38:14 AM;Alvo;25;Right_Arm
2;9/27/2023 11:38:20 AM;Alvo;1.333333;Right_Arm
2;9/27/2023 11:38:26 AM;Alvo;1.333333;Right_Arm
2;9/27/2023 11:38:32 AM;Alvo;1.333333;Right_Arm
2;9/27/2023 11:38:38 AM;Alvo;1.333333;Left_Arm
2;9/27/2023 11:38:44 AM;Alvo;1.333333;Right_Arm
2;9/27/2023 11:38:50 AM;Alvo;1.333333;Left_Arm
2;9/27/2023 11:39:09 AM;Alvo;25;Right_Arm
2;9/27/2023 11:39:15 AM;Alvo;1.333333;Right_Arm
2;9/27/2023 11:42:37 AM;Alvo;25;Right_Arm
2;9/27/2023 11:45:18 AM;Alvo;25;Right_Arm
