Sessao; Data; Tipo do Objeto; Pontos; Membro 
3;02/08/2023 17:27:09;Alvo;25;Right_Arm
3;02/08/2023 17:27:15;Surpresa;1,388889;Left_Arm
3;02/08/2023 17:30:16;Alvo;25;Right_Arm
3;02/08/2023 17:31:10;Alvo;25;Right_Arm
3;02/08/2023 17:31:16;Alvo;1,388889;Left_Arm
3;02/08/2023 17:31:28;Surpresa;1,388889;Right_Arm
3;02/08/2023 17:31:40;Alvo;1,388889;Right_Arm
3;02/08/2023 17:31:46;Alvo;1,388889;Left_Arm
3;02/08/2023 17:53:14;Alvo;25;Right_Arm
3;02/08/2023 18:01:39;Alvo;25;Right_Arm
9;02/08/2023 18:05:57;Alvo;25;Right_Arm
3;02/08/2023 18:08:22;Alvo;25;Right_Arm
3;02/08/2023 18:08:29;Alvo;1,388889;Left_Arm
3;02/08/2023 18:08:35;Surpresa;1,388889;Right_Arm
3;02/08/2023 18:08:41;Alvo;1,388889;Right_Arm
3;02/08/2023 18:08:53;Alvo;1,388889;Left_Arm
3;02/08/2023 18:08:57;Alvo;1,388889;Right_Arm
3;02/08/2023 18:09:03;Alvo;1,388889;Left_Arm
3;02/08/2023 18:14:34;Alvo;25;Right_Arm
3;02/08/2023 18:15:10;Alvo;25;Right_Arm
3;02/08/2023 18:15:47;Alvo;25;Right_Arm
3;02/08/2023 18:26:54;Alvo;25;Right_Arm
3;02/08/2023 18:45:07;Alvo;25;Right_Arm
3;02/08/2023 18:47:34;Alvo;25;Right_Arm
3;02/08/2023 18:48:42;Alvo;25;Right_Arm
3;02/08/2023 18:48:53;Alvo;1,388889;Left_Arm
3;02/08/2023 18:50:00;Alvo;25;Right_Arm
3;02/08/2023 18:50:06;Alvo;1,388889;Left_Arm
3;02/08/2023 18:50:40;Alvo;25;Right_Arm
3;02/08/2023 18:50:46;Alvo;1,388889;Left_Arm
3;02/08/2023 18:53:17;Alvo;25;Right_Arm
3;02/08/2023 18:53:23;Surpresa;1,388889;Right_Foot
3;02/08/2023 18:53:53;Alvo;25;Right_Arm
3;02/08/2023 18:55:02;Alvo;25;Right_Arm
3;02/08/2023 18:55:08;Alvo;1,388889;Left_Arm
3;02/08/2023 18:56:16;Alvo;25;Right_Arm
3;02/08/2023 18:56:22;Alvo;1,388889;Left_Arm
3;02/08/2023 18:56:28;Alvo;1,388889;Right_Arm
3;02/08/2023 18:56:34;Alvo;1,388889;Left_Arm
3;02/08/2023 18:56:39;Alvo;1,388889;Right_Arm
3;02/08/2023 18:56:45;Alvo;1,388889;Left_Arm
3;02/08/2023 18:57:20;Alvo;1,388889;Right_Arm
3;02/08/2023 18:57:26;Alvo;1,388889;Left_Arm
3;02/08/2023 18:59:33;Alvo;25;Right_Arm
3;02/08/2023 19:00:22;Alvo;25;Right_Arm
3;02/08/2023 19:00:57;Alvo;1,388889;Left_Arm
3;03/08/2023 14:08:07;Alvo;25;Right_Arm
3;03/08/2023 14:08:13;Alvo;1,388889;Left_Arm
3;03/08/2023 14:08:19;Alvo;1,388889;Right_Arm
3;03/08/2023 14:08:25;Alvo;1,388889;Left_Arm
3;03/08/2023 14:08:30;Alvo;1,388889;Right_Arm
3;03/08/2023 14:08:36;Alvo;1,388889;Left_Arm
3;03/08/2023 14:09:24;Alvo;1,388889;Right_Arm
3;03/08/2023 14:09:30;Alvo;1,388889;Left_Arm
3;03/08/2023 14:09:36;Alvo;1,388889;Right_Arm
3;03/08/2023 14:09:42;Alvo;1,388889;Left_Arm
3;03/08/2023 14:09:54;Alvo;1,388889;Right_Arm
3;03/08/2023 14:10:00;Alvo;1,388889;Left_Arm
3;03/08/2023 14:11:23;Alvo;25;Right_Arm
3;03/08/2023 14:12:43;Alvo;25;Right_Arm
3;03/08/2023 14:18:32;Alvo;25;Right_Arm
3;03/08/2023 14:18:38;Alvo;1,388889;Left_Arm
3;03/08/2023 14:18:44;Alvo;1,388889;Right_Arm
3;03/08/2023 14:18:50;Alvo;1,388889;Left_Arm
3;03/08/2023 14:19:29;Alvo;25;Right_Arm
3;03/08/2023 14:21:23;Alvo;25;Right_Arm
3;03/08/2023 14:21:29;Alvo;1,388889;Left_Arm
3;03/08/2023 14:21:35;Alvo;1,388889;Right_Arm
3;03/08/2023 14:25:17;Alvo;25;Right_Arm
3;03/08/2023 14:25:43;Alvo;25;Right_Arm
3;03/08/2023 14:26:33;Alvo;25;Right_Arm
5;03/08/2023 14:27:11;Alvo;1,388889;Right_Arm
5;03/08/2023 14:27:17;Alvo;1,388889;Left_Arm
5;03/08/2023 14:27:23;Alvo;1,388889;Right_Arm
5;03/08/2023 14:27:29;Alvo;1,388889;Left_Arm
3;03/08/2023 14:27:52;Alvo;25;Right_Arm
3;03/08/2023 17:38:38;Alvo;25;Right_Arm
3;03/08/2023 17:38:50;Alvo;1,388889;Left_Arm
3;03/08/2023 17:38:56;Alvo;1,388889;Right_Arm
3;03/08/2023 17:39:02;Alvo;1,388889;Left_Arm
3;03/08/2023 17:39:06;Alvo;1,388889;Right_Arm
3;03/08/2023 17:39:56;Alvo;25;Right_Arm
3;03/08/2023 17:40:00;Alvo;1,388889;Left_Arm
3;03/08/2023 17:41:34;Alvo;25;Right_Arm
3;03/08/2023 17:41:35;Alvo;1,388889;Left_Arm
3;03/08/2023 17:41:36;Alvo;1,388889;Right_Arm
3;03/08/2023 17:41:37;Alvo;1,388889;Left_Arm
3;03/08/2023 17:41:39;Alvo;1,388889;Right_Arm
3;03/08/2023 17:41:41;Alvo;1,388889;Left_Arm
